project	n_samples	n_experiments	n_runs	runs_per_sample_max	strict_1to1	n_assay_triples	distinct_wells	well_coverage	looks_plate	plate_format	plates_est	assay_triples	found_by
PRJNA726572	38	38	44	4	False	2	0	0.0	False			ChIP-Seq|GENOMIC|ChIP;RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA751223	38	38	38	1	True	3	10	0.553	False		3.8	ATAC-seq|GENOMIC|other;ChIP-Seq|GENOMIC|ChIP;RNA-Seq|TRANSCRIPTOMIC|cDNA	10x Genomics Chromium
PRJNA778782	38	38	52	2	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA806352	38	38	38	1	True	2	1	0.053	False		38.0	ATAC-seq|GENOMIC|other;RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA832122	38	38	38	1	True	1	2	0.789	False		19.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA844023	38	38	38	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA856509	38	38	38	1	True	3	0	0.0	False			OTHER|TRANSCRIPTOMIC|other;RIP-Seq|TRANSCRIPTOMIC|other;RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA883411	38	38	38	1	True	1	24	0.632	False		1.58	RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA	10x Genomics Chromium;single nucleus RNA-seq
PRJNA916500	38	38	124	4	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA	Parse Biosciences
PRJNA978083	38	38	38	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA	10x Genomics Chromium
PRJEB28586	37	37	2560	96	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|Oligo-dT	10x Genomics Chromium
PRJNA1008064	37	37	37	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1154948	37	37	37	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1179453	37	37	37	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1193465	37	37	37	1	True	1	1	0.649	False		37.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA556200	37	37	47	2	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA602299	37	37	86	4	False	1	4	0.465	False		9.25	RNA-Seq|TRANSCRIPTOMIC|cDNA	single nucleus RNA-seq
PRJNA615697	37	37	37	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA668222	37	38	40	4	False	2	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|RANDOM PCR;RNA-Seq|TRANSCRIPTOMIC|RT-PCR	bulk RNA-seq
PRJNA707538	37	37	37	1	True	2	0	0.0	False			ATAC-seq|GENOMIC|other;RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA715371	37	37	37	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA767550	37	37	37	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA812041	37	37	37	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJDB14143	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|Oligo-dT	TruSeq Stranded mRNA
PRJDB40719	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA_oligo_dT	bulk RNA-seq
PRJDB6361	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|size fractionation	TruSeq Stranded mRNA
PRJEB29950	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|PolyA	TruSeq Stranded mRNA
PRJEB82069	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|Oligo-dT	bulk RNA-seq
PRJEB83325	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJEB86852	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|PolyA	bulk RNA-seq
PRJNA1005684	36	36	72	2	False	1	1	0.333	False		36.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1009858	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1014918	36	36	36	1	True	1	1	0.5	False		36.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1040329	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1065311	36	36	36	1	True	1	2	0.167	False		18.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
PRJNA1121326	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|PCR	10x Genomics Chromium;bulk RNA-seq
PRJNA1121327	36	36	36	1	True	1	0	0.0	False			ATAC-seq|GENOMIC|PCR	10x Genomics Chromium
PRJNA1132900	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
PRJNA1140223	36	36	36	1	True	1	4	1.0	False		9.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1141139	36	36	36	1	True	1	2	0.667	False		18.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
